Timepoint,Total_DEGs,Upregulated,Downregulated,Percent_Up,Percent_Down,Mean_logFC_Up,Mean_logFC_Down
P15,1079,509,570,47.17,52.83,0.2894,0.2890
P30,1079,565,514,52.36,47.64,0.4517,0.4505
